HYY_EDDY233.wind_dir,HYY_EDDY233.CO2_storage_flux,HYY_EDDY233.H_storage_flux,HYY_EDDY233.H,HYY_META.T672,HYY_EDDY233.LE_storage_flux,HYY_EDDY233.Qc_H,HYY_EDDY233.Qc_F_c,HYY_EDDY233.F_c,HYY_EDDY233.Qc_LE,HYY_EDDY233.tau,HYY_EDDY233.Qc_tau,HYY_EDDY233.U,HYY_META.T42,HYY_EDDY233.u_star,HYY_META.T84,HYY_META.T168,HYY_EDDY233.LE,HYY_META.T504,HYY_EDDY233.MO_length,HYY_EDDY233.E,HYY_META.T336,datetime,VAR_EDDY.H,VAR_EDDY.LE,VAR_EDDY.E,VAR_EDDY.F_c,VAR_EDDY.tau,VAR_EDDY.u_star,VAR_EDDY.MO_length,VAR_EDDY.U,VAR_EDDY.wind_dir,VAR_EDDY.Qc_H,VAR_EDDY.Qc_LE,VAR_EDDY.Qc_F_c,VAR_EDDY.Qc_tau,VAR_EDDY.CO2_storage_flux,VAR_EDDY.H_storage_flux,VAR_EDDY.LE_storage_flux,VAR_META.TDRY3,VAR_META.TDRY2,VAR_META.TDRY1,VAR_META.TDRY0
,0.1631,-2.4025,,-2.685,-0.74505,,,,,,,,,,,-2.39867,,-2.753,,,-2.475,2023-11-01T00:00:00.0,,,,,,,,,,,,,,0.1631,-2.4025,-0.74505,-2.39867,-2.39867,-2.475,-2.753
,-0.12859,-1.35324,,-2.76833,-0.08731,,,,,,,,,,,-2.50667,,-2.84133,,,-2.56967,2023-11-01T00:30:00.0,,,,,,,,,,,,,,-0.12859,-1.35324,-0.08731,-2.50667,-2.50667,-2.56967,-2.84133
,-0.15149,0.46442,,-2.771,-0.0291,,,,,,,,,,,-2.52333,,-2.84767,,,-2.57867,2023-11-01T01:00:00.0,,,,,,,,,,,,,,-0.15149,0.46442,-0.0291,-2.52333,-2.52333,-2.57867,-2.84767
,-0.20288,0.31462,,-2.762,0.59574,,,,,,,,,,,-2.50533,,-2.831,,,-2.565,2023-11-01T01:30:00.0,,,,,,,,,,,,,,-0.20288,0.31462,0.59574,-2.50533,-2.50533,-2.565,-2.831
,-0.28118,-0.39584,,-2.798,-1.19805,,,,,,,,,,,-2.52933,,-2.87133,,,-2.599,2023-11-01T02:00:00.0,,,,,,,,,,,,,,-0.28118,-0.39584,-1.19805,-2.52933,-2.52933,-2.599,-2.87133
,-0.0145,0.28914,,-2.772,-0.57573,,,,,,,,,,,-2.49033,,-2.843,,,-2.56167,2023-11-01T02:30:00.0,,,,,,,,,,,,,,-0.0145,0.28914,-0.57573,-2.49033,-2.49033,-2.56167,-2.843
,0.21983,-0.02403,,-2.73733,0.74309,,,,,,,,,,,-2.461,,-2.807,,,-2.52967,2023-11-01T03:00:00.0,,,,,,,,,,,,,,0.21983,-0.02403,0.74309,-2.461,-2.461,-2.52967,-2.807
,0.21393,1.42681,,-2.70633,-0.67212,,,,,,,,,,,-2.43133,,-2.77733,,,-2.495,2023-11-01T03:30:00.0,,,,,,,,,,,,,,0.21393,1.42681,-0.67212,-2.43133,-2.43133,-2.495,-2.77733
,0.3604,-0.12197,,-2.709,0.65516,,,,,,,,,,,-2.44533,,-2.78367,,,-2.50167,2023-11-01T04:00:00.0,,,,,,,,,,,,,,0.3604,-0.12197,0.65516,-2.44533,-2.44533,-2.50167,-2.78367
,0.3875,-0.42097,,-2.728,0.3242,,,,,,,,,,,-2.45333,,-2.797,,,-2.51833,2023-11-01T04:30:00.0,,,,,,,,,,,,,,0.3875,-0.42097,0.3242,-2.45333,-2.45333,-2.51833,-2.797
,0.26047,0.77176,,-2.72567,0.63796,,,,,,,,,,,-2.455,,-2.79467,,,-2.52067,2023-11-01T05:00:00.0,,,,,,,,,,,,,,0.26047,0.77176,0.63796,-2.455,-2.455,-2.52067,-2.79467
,0.19164,1.37572,,-2.66367,1.13344,,,,,,,,,,,-2.405,,-2.73667,,,-2.464,2023-11-01T05:30:00.0,,,,,,,,,,,,,,0.19164,1.37572,1.13344,-2.405,-2.405,-2.464,-2.73667
,0.1384,0.69159,,-2.604,1.05674,,,,,,,,,,,-2.33633,,-2.669,,,-2.405,2023-11-01T06:00:00.0,,,,,,,,,,,,,,0.1384,0.69159,1.05674,-2.33633,-2.33633,-2.405,-2.669
,0.12903,0.57026,,-2.553,0.86008,,,,,,,,,,,-2.291,,-2.63,,,-2.36033,2023-11-01T06:30:00.0,,,,,,,,,,,,,,0.12903,0.57026,0.86008,-2.291,-2.291,-2.36033,-2.63
,0.15104,0.28497,,-2.54267,0.73098,,,,,,,,,,,-2.284,,-2.61767,,,-2.35,2023-11-01T07:00:00.0,,,,,,,,,,,,,,0.15104,0.28497,0.73098,-2.284,-2.284,-2.35,-2.61767
,0.02392,1.75258,,-2.508,0.35673,,,,,,,,,,,-2.23667,,-2.58,,,-2.30767,2023-11-01T07:30:00.0,,,,,,,,,,,,,,0.02392,1.75258,0.35673,-2.23667,-2.23667,-2.30767,-2.58
,0.01041,0.63499,,-2.44233,0.4409,,,,,,,,,,,-2.17567,,-2.51067,,,-2.24533,2023-11-01T08:00:00.0,,,,,,,,,,,,,,0.01041,0.63499,0.4409,-2.17567,-2.17567,-2.24533,-2.51067
,-0.06714,1.3552,,-2.38833,1.25151,,,,,,,,,,,-2.119,,-2.46533,,,-2.19633,2023-11-01T08:30:00.0,,,,,,,,,,,,,,-0.06714,1.3552,1.25151,-2.119,-2.119,-2.19633,-2.46533
,-0.10633,1.42302,,-2.33433,1.14967,,,,,,,,,,,-2.06367,,-2.41433,,,-2.14533,2023-11-01T09:00:00.0,,,,,,,,,,,,,,-0.10633,1.42302,1.14967,-2.06367,-2.06367,-2.14533,-2.41433
,-0.09635,1.36117,,-2.284,0.54459,,,,,,,,,,,-2.0,,-2.361,,,-2.089,2023-11-01T09:30:00.0,,,,,,,,,,,,,,-0.09635,1.36117,0.54459,-2.0,-2.0,-2.089,-2.361
,-0.08711,1.83708,,-2.202,0.47154,,,,,,,,,,,-1.90133,,-2.27033,,,-1.99533,2023-11-01T10:00:00.0,,,,,,,,,,,,,,-0.08711,1.83708,0.47154,-1.90133,-1.90133,-1.99533,-2.27033
,-0.16112,1.2379,,-2.12533,0.53483,,,,,,,,,,,-1.80633,,-2.18,,,-1.90567,2023-11-01T10:30:00.0,,,,,,,,,,,,,,-0.16112,1.2379,0.53483,-1.80633,-1.80633,-1.90567,-2.18
,-0.1376,0.7996,,-2.06033,1.27561,,,,,,,,,,,-1.76933,,-2.13,,,-1.85433,2023-11-01T11:00:00.0,,,,,,,,,,,,,,-0.1376,0.7996,1.27561,-1.76933,-1.76933,-1.85433,-2.13
,-0.14311,2.61596,,-2.01,2.16607,,,,,,,,,,,-1.68567,,-2.072,,,-1.79233,2023-11-01T11:30:00.0,,,,,,,,,,,,,,-0.14311,2.61596,2.16607,-1.68567,-1.68567,-1.79233,-2.072
,-0.07682,1.35226,,-1.924,0.17998,,,,,,,,,,,-1.58367,,-1.985,,,-1.702,2023-11-01T12:00:00.0,,,,,,,,,,,,,,-0.07682,1.35226,0.17998,-1.58367,-1.58367,-1.702,-1.985
,-0.00825,1.39742,,-1.85667,1.7284,,,,,,,,,,,-1.537,,-1.92,,,-1.64867,2023-11-01T12:30:00.0,,,,,,,,,,,,,,-0.00825,1.39742,1.7284,-1.537,-1.537,-1.64867,-1.92
,0.05919,3.38318,,-1.732,2.54561,,,,,,,,,,,-1.432,,-1.796,,,-1.531,2023-11-01T13:00:00.0,,,,,,,,,,,,,,0.05919,3.38318,2.54561,-1.432,-1.432,-1.531,-1.796
,0.1061,1.42773,,-1.65067,2.14984,,,,,,,,,,,-1.297,,-1.71133,,,-1.432,2023-11-01T13:30:00.0,,,,,,,,,,,,,,0.1061,1.42773,2.14984,-1.297,-1.297,-1.432,-1.71133
,0.11008,1.46891,,-1.58967,1.09691,,,,,,,,,,,-1.25267,,-1.65,,,-1.37867,2023-11-01T14:00:00.0,,,,,,,,,,,,,,0.11008,1.46891,1.09691,-1.25267,-1.25267,-1.37867,-1.65
,0.11805,0.95072,,-1.566,0.38854,,,,,,,,,,,-1.18467,,-1.62767,,,-1.339,2023-11-01T14:30:00.0,,,,,,,,,,,,,,0.11805,0.95072,0.38854,-1.18467,-1.18467,-1.339,-1.62767
,0.19571,-0.01244,,-1.56233,0.57438,,,,,,,,,,,-1.207,,-1.63,,,-1.34567,2023-11-01T15:00:00.0,,,,,,,,,,,,,,0.19571,-0.01244,0.57438,-1.207,-1.207,-1.34567,-1.63
